,ROI,p,p_FDR,stat
0,lh_bankssts,0.8051194880511949,0.9439275250557135,-0.39860139860140364
1,lh_caudalanteriorcingulate,0.08539146085391461,0.49387061293870615,2.8692696192696268
2,lh_cuneus,0.30896910308969106,0.8303715083037152,1.7076534576534677
3,lh_entorhinal,0.5295470452954705,0.9394333293943333,-1.1134421134421117
4,lh_fusiform,0.036996300369963,0.48409704484097044,-2.9310411810411736
5,lh_inferiorparietal,0.07899210078992101,0.49387061293870615,-2.724358974358978
6,lh_inferiortemporal,0.6911308869113089,0.9394333293943333,-0.6983294483294493
7,lh_isthmuscingulate,0.6173382661733826,0.9394333293943333,-0.8296425796425915
8,lh_lateraloccipital,0.15398460153984603,0.7185948071859481,2.02408702408702
9,lh_lateralorbitofrontal,0.587941205879412,0.9394333293943333,0.9322066822066866
10,lh_lingual,0.42595740425957407,0.8303715083037152,1.2785547785547848
11,lh_medialorbitofrontal,0.33056694330566944,0.8303715083037152,1.3883061383061346
12,lh_middletemporal,0.0963903609639036,0.506049395060494,-2.8774281274281392
13,lh_parahippocampal,0.37736226377362264,0.8303715083037152,1.5407925407925411
14,lh_paracentral,0.0821917808219178,0.49387061293870615,-3.310994560994569
15,lh_parsopercularis,0.2957704229577042,0.8303715083037152,1.5295260295260285
16,lh_parsorbitalis,0.40575942405759424,0.8303715083037152,1.2770007770007723
17,lh_parstriangularis,0.9339066093390661,0.9585285373901634,0.11499611499610296
18,lh_pericalcarine,0.018998100189981004,0.48409704484097044,4.4978632478632505
19,lh_postcentral,0.11698830116988301,0.5780598410747161,-2.3640248640248593
20,lh_posteriorcingulate,0.7319268073192681,0.9394333293943333,0.5858585858585883
21,lh_precentral,0.2703729627037296,0.8303715083037152,-1.4685314685314736
22,lh_precuneus,0.42455754424557546,0.8303715083037152,-1.1831779331779337
23,lh_rostralanteriorcingulate,0.8203179682031797,0.9439275250557135,0.32595182595183303
24,lh_rostralmiddlefrontal,0.5407459254074592,0.9394333293943333,-0.931818181818187
25,lh_superiorfrontal,0.8961103889611038,0.9585285373901634,0.2703962703962617
26,lh_superiorparietal,0.30216978302169784,0.8303715083037152,1.5887723387723334
27,lh_superiortemporal,0.9225077492250775,0.9585285373901634,0.12665112665112588
28,lh_supramarginal,0.403959604039596,0.8303715083037152,1.3782051282051455
29,lh_frontalpole,0.5671432856714329,0.9394333293943333,1.1270396270396255
30,lh_temporalpole,0.9107089291070893,0.9585285373901634,-0.32614607614607394
31,lh_transversetemporal,0.036996300369963,0.48409704484097044,3.7383449883449913
32,lh_insula,0.054594540545945404,0.48409704484097044,3.433177933177923
33,rh_bankssts,0.6739326067393261,0.9394333293943333,0.8104118104118143
34,rh_caudalanteriorcingulate,0.8875112488751125,0.9585285373901634,0.21775446775446028
35,rh_cuneus,0.8067193280671933,0.9439275250557135,0.4219114219114317
36,rh_entorhinal,0.30696930306969306,0.8303715083037152,-2.1482128982128934
37,rh_fusiform,0.30416958304169583,0.8303715083037152,-1.7177544677544745
38,rh_inferiorparietal,0.27717228277172284,0.8303715083037152,-1.7251359751359843
