,ROI,p,p_FDR,stat
0,lh_bankssts,0.9887011298870113,0.9917008299170083,0.0008105876490867026
1,lh_caudalanteriorcingulate,0.08999100089991001,0.4693648282230601,-0.05483700674041603
2,lh_cuneus,0.48855114488551143,0.9420828408962383,-0.028330191681950945
3,lh_entorhinal,0.8597140285971403,0.9917008299170083,0.011647737962844129
4,lh_fusiform,0.09499050094990501,0.4693648282230601,0.04228802874730708
5,lh_inferiorparietal,0.06079392060793921,0.42975702429757023,0.058351526613107385
6,lh_inferiortemporal,0.7569243075692431,0.9917008299170083,0.011258798668833059
7,lh_isthmuscingulate,0.5367463253674633,0.9420828408962383,0.02203840131435464
8,lh_lateraloccipital,0.28417158284171584,0.7956804319568043,-0.034018562801480856
9,lh_lateralorbitofrontal,0.46735326467353266,0.9420828408962383,-0.027546266629018934
10,lh_lingual,0.4791520847915208,0.9420828408962383,-0.024289568969137365
11,lh_medialorbitofrontal,0.9043095690430957,0.9917008299170083,-0.004300334855568133
12,lh_middletemporal,0.12378762123787622,0.4726436447264365,0.05269107427713471
13,lh_parahippocampal,0.5427457254274572,0.9420828408962383,-0.031239359853749038
14,lh_paracentral,0.0613938606139386,0.42975702429757023,0.07562637595530797
15,lh_parsopercularis,0.23177682231776822,0.7488174259497127,-0.03404948062249513
16,lh_parsorbitalis,0.38476152384761525,0.9204617999738487,-0.029902366680155446
17,lh_parstriangularis,0.8149185081491851,0.9917008299170083,0.007128064053484762
18,lh_pericalcarine,0.05419458054194581,0.42975702429757023,-0.08601956852699177
19,lh_postcentral,0.10678932106789321,0.4726436447264365,0.04970263181847501
20,lh_posteriorcingulate,0.6029397060293971,0.9420828408962383,-0.01799868905494839
21,lh_precentral,0.32096790320967905,0.8697194796649367,0.02397128813241234
22,lh_precuneus,0.4273572642735726,0.9204617999738487,0.024970791981806295
23,lh_rostralanteriorcingulate,0.9733026697330267,0.9917008299170083,-0.0014277797733563968
24,lh_rostralmiddlefrontal,0.47015298470152983,0.9420828408962383,0.023386152376968283
25,lh_superiorfrontal,0.962903709629037,0.9917008299170083,0.0013035083209658183
26,lh_superiorparietal,0.28117188281171884,0.7956804319568043,-0.034760605862252714
27,lh_superiortemporal,0.9425057494250575,0.9917008299170083,0.0021132115036526233
28,lh_supramarginal,0.38536146385361464,0.9204617999738487,-0.025424642333400804
29,lh_frontalpole,0.009599040095990401,0.39056094390560947,-0.1304055107095492
30,lh_temporalpole,0.12018798120187982,0.4726436447264365,0.09943172768785091
31,lh_transversetemporal,0.015398460153984602,0.39056094390560947,-0.08512899035983978
32,lh_insula,0.031196880311968805,0.42975702429757023,-0.0698066598869782
